cluster_id	scan_id	precursor_mz	precursor_charge	quality_score	confidence	ptm_flag	within_var	mean_similarity
42098	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "953626"; PrecursorID: "0"; scans: "46472"	563.9993	3	0.9644	HIGH	False	0.0033	0.9967
42098	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "1020117"; PrecursorID: "0"; scans: "48379"	563.9994	3	0.9644	HIGH	False	0.0033	0.9967
8539	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "615372"; PrecursorID: "0"; scans: "31590"	582.8162	2	0.9643	HIGH	False	0.0033	0.9967
8539	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "884309"; PrecursorID: "0"; scans: "39667"	582.8165	2	0.9643	HIGH	False	0.0033	0.9967
45550	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "911274"; PrecursorID: "0"; scans: "68547"	459.7825	2	0.9634	HIGH	False	0.0034	0.9966
45550	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "913971"; PrecursorID: "0"; scans: "71447"	459.7828	2	0.9634	HIGH	False	0.0034	0.9966
45550	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "947050"; PrecursorID: "0"; scans: "39440"	459.7827	2	0.9634	HIGH	False	0.0034	0.9966
7543	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "604541"; PrecursorID: "0"; scans: "20015"	558.9708	3	0.9631	HIGH	False	0.0034	0.9966
7543	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "604554"; PrecursorID: "0"; scans: "20029"	558.9706	3	0.9631	HIGH	False	0.0034	0.9966
39554	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "931014"; PrecursorID: "0"; scans: "21720"	504.6460	3	0.963	HIGH	False	0.0034	0.9966
39554	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "996883"; PrecursorID: "0"; scans: "23792"	504.6460	3	0.963	HIGH	False	0.0034	0.9966
32634	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "858644"; PrecursorID: "0"; scans: "10966"	442.9441	3	0.9622	HIGH	False	0.0035	0.9965
32634	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "858656"; PrecursorID: "0"; scans: "10979"	442.9443	3	0.9622	HIGH	False	0.0035	0.9965
18506	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "732351"; PrecursorID: "0"; scans: "14698"	388.2246	4	0.9617	HIGH	False	0.0036	0.9964
18506	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "732365"; PrecursorID: "0"; scans: "14713"	388.2245	4	0.9617	HIGH	False	0.0036	0.9964
41802	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "951353"; PrecursorID: "0"; scans: "44044"	528.3464	3	0.9611	HIGH	False	0.0036	0.9964
41802	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "951362"; PrecursorID: "0"; scans: "44054"	528.3469	3	0.9611	HIGH	False	0.0036	0.9964
30379	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_05.raw"; SpectrumID: "833942"; PrecursorID: "0"; scans: "54424"	531.2950	2	0.961	HIGH	False	0.0036	0.9964
30379	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_05.raw"; SpectrumID: "833961"; PrecursorID: "0"; scans: "54445"	531.3035	2	0.961	HIGH	False	0.0036	0.9964
45557	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "729586"; PrecursorID: "0"; scans: "11591"	519.7997	2	0.961	HIGH	False	0.0036	0.9964
45557	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "730245"; PrecursorID: "0"; scans: "12343"	519.8003	2	0.961	HIGH	False	0.0036	0.9964
45557	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "732362"; PrecursorID: "0"; scans: "14710"	519.8004	2	0.961	HIGH	False	0.0036	0.9964
2989	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_01.raw"; SpectrumID: "542893"; PrecursorID: "0"; scans: "25955"	713.9920	3	0.9604	HIGH	False	0.0037	0.9963
2989	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_01.raw"; SpectrumID: "542899"; PrecursorID: "0"; scans: "25962"	713.6581	3	0.9604	HIGH	False	0.0037	0.9963
34109	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "872924"; PrecursorID: "0"; scans: "27064"	1047.5089	2	0.9601	HIGH	False	0.0037	0.9963
34109	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "872967"; PrecursorID: "0"; scans: "27115"	1047.5084	2	0.9601	HIGH	False	0.0037	0.9963
39089	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "925273"; PrecursorID: "0"; scans: "15149"	431.5274	4	0.9591	HIGH	False	0.0038	0.9962
39089	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "925279"; PrecursorID: "0"; scans: "15156"	431.5273	4	0.9591	HIGH	False	0.0038	0.9962
39915	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "935196"; PrecursorID: "0"; scans: "26304"	578.3709	3	0.9581	HIGH	False	0.0039	0.9961
39915	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "1001364"; PrecursorID: "0"; scans: "28534"	578.3715	3	0.9581	HIGH	False	0.0039	0.9961
7120	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "600155"; PrecursorID: "0"; scans: "15257"	435.2647	2	0.9579	HIGH	False	0.0039	0.9961
7120	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "600167"; PrecursorID: "0"; scans: "15270"	435.2556	2	0.9579	HIGH	False	0.0039	0.9961
627	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_01.raw"; SpectrumID: "525222"; PrecursorID: "0"; scans: "6768"	532.7883	2	0.9578	HIGH	False	0.0039	0.9961
